Persona 1, 03:30:01.214359, 03:30:01.214359
Persona 10, 03:30:01.216362, 03:30:01.216362
Persona 12, 03:30:01.216362, 03:30:01.216362
Persona 19, 03:30:01.217363, 03:30:01.217363
Persona 20, 03:30:01.217363, 03:30:01.217363
Persona 21, 03:30:01.217363, 03:30:01.217363
Persona 23, 03:30:01.217363, 03:30:01.217363
Persona 24, 03:30:01.217363, 03:30:01.217363
Persona 35, 03:30:01.219364, 03:30:01.219364
Persona 36, 03:30:01.219364, 03:30:01.219364
Persona 39, 03:30:01.219364, 03:30:01.220365
Persona 45, 03:30:01.220365, 03:30:01.220365
Persona 48, 03:30:01.221367, 03:30:09.259391
Persona 53, 03:30:01.222367, 03:30:09.259391
Persona 58, 03:30:01.222367, 03:30:09.259391
Persona 64, 03:30:01.223368, 03:30:09.274404
Persona 66, 03:30:01.223368, 03:30:09.274404
Persona 75, 03:30:01.225370, 03:30:09.274404
Persona 78, 03:30:01.225370, 03:30:09.274404
Persona 80, 03:30:01.225370, 03:30:09.274404
Persona 83, 03:30:09.259391, 03:30:09.274404
Persona 94, 03:30:09.259391, 03:30:09.274404
