Persona 1, 03:30:01.214359, Sala 2, 03:30:01.214359
Persona 2, 03:30:01.214359, Sala 1, 03:30:01.214359
Persona 3, 03:30:01.214359, Sala 3, 03:30:01.214359
Persona 4, 03:30:01.214359, Sala 3, 03:30:01.214359
Persona 5, 03:30:01.215361, Sala 4, 03:30:01.215361
Persona 6, 03:30:01.215361, Sala 4, 03:30:01.215361
Persona 7, 03:30:01.215361, Sala 1, 03:30:01.215361
Persona 8, 03:30:01.215361, Sala 3, 03:30:01.215361
Persona 9, 03:30:01.215361, Sala 4, 03:30:01.215361
Persona 10, 03:30:01.216362, Sala 2, 03:30:01.216362
Persona 11, 03:30:01.216362, Sala 3, 03:30:01.216362
Persona 12, 03:30:01.216362, Sala 2, 03:30:01.216362
Persona 13, 03:30:01.216362, Sala 1, 03:30:01.216362
Persona 14, 03:30:01.216362, Sala 1, 03:30:01.216362
Persona 15, 03:30:01.216362, Sala 4, 03:30:01.216362
Persona 16, 03:30:01.216362, Sala 1, 03:30:01.216362
Persona 17, 03:30:01.217363, Sala 3, 03:30:01.217363
Persona 18, 03:30:01.217363, Sala 1, 03:30:01.217363
Persona 19, 03:30:01.217363, Sala 2, 03:30:01.217363
Persona 20, 03:30:01.217363, Sala 2, 03:30:01.217363
Persona 21, 03:30:01.217363, Sala 2, 03:30:01.217363
Persona 22, 03:30:01.217363, Sala 4, 03:30:01.217363
Persona 23, 03:30:01.217363, Sala 2, 03:30:01.217363
Persona 24, 03:30:01.217363, Sala 2, 03:30:01.217363
Persona 25, 03:30:01.218364, Sala 1, 03:30:01.218364
Persona 26, 03:30:01.218364, Sala 1, 03:30:01.218364
Persona 27, 03:30:01.218364, Sala 1, 03:30:01.218364
Persona 28, 03:30:01.218364, Sala 1, 03:30:01.218364
Persona 29, 03:30:01.218364, Sala 1, 03:30:01.218364
Persona 30, 03:30:01.218364, Sala 4, 03:30:01.218364
Persona 31, 03:30:01.218364, Sala 4, 03:30:01.218364
Persona 32, 03:30:01.219364, Sala 3, 03:30:01.219364
Persona 33, 03:30:01.219364, Sala 1, 03:30:01.219364
Persona 34, 03:30:01.219364, Sala 4, 03:30:01.219364
Persona 35, 03:30:01.219364, Sala 2, 03:30:01.219364
Persona 36, 03:30:01.219364, Sala 2, 03:30:01.219364
Persona 37, 03:30:01.219364, Sala 4, 03:30:01.219364
Persona 38, 03:30:01.219364, Sala 4, 03:30:01.219364
Persona 39, 03:30:01.219364, Sala 2, 03:30:01.219364
Persona 40, 03:30:01.220365, Sala 4, 03:30:01.220365
Persona 41, 03:30:01.220365, Sala 3, 03:30:01.220365
Persona 42, 03:30:01.220365, Sala 3, 03:30:01.220365
Persona 43, 03:30:01.220365, Sala 3, 03:30:01.220365
Persona 44, 03:30:01.220365, Sala 1, 03:30:01.220365
Persona 45, 03:30:01.220365, Sala 2, 03:30:01.220365
Persona 46, 03:30:01.221367, Sala 1, 03:30:01.221367
Persona 47, 03:30:01.221367, Sala 3, 03:30:01.221367
Persona 48, 03:30:01.221367, Sala 2, 03:30:01.221367
Persona 49, 03:30:01.221367, Sala 3, 03:30:01.221367
Persona 50, 03:30:01.221367, Sala 4, 03:30:01.221367
Persona 51, 03:30:01.221367, Sala 4, 03:30:01.221367
Persona 52, 03:30:01.221367, Sala 1, 03:30:01.221367
Persona 53, 03:30:01.222367, Sala 2, 03:30:01.222367
Persona 54, 03:30:01.222367, Sala 4, 03:30:01.222367
Persona 55, 03:30:01.222367, Sala 3, 03:30:01.222367
Persona 56, 03:30:01.222367, Sala 3, 03:30:01.222367
Persona 57, 03:30:01.222367, Sala 1, 03:30:01.222367
Persona 58, 03:30:01.222367, Sala 2, 03:30:01.222367
Persona 59, 03:30:01.223368, Sala 1, 03:30:01.223368
Persona 60, 03:30:01.223368, Sala 4, 03:30:01.223368
Persona 61, 03:30:01.223368, Sala 3, 03:30:01.223368
Persona 62, 03:30:01.223368, Sala 1, 03:30:01.223368
Persona 63, 03:30:01.223368, Sala 3, 03:30:01.223368
Persona 64, 03:30:01.223368, Sala 2, 03:30:01.223368
Persona 65, 03:30:01.223368, Sala 1, 03:30:01.223368
Persona 66, 03:30:01.223368, Sala 2, 03:30:01.223368
Persona 67, 03:30:01.224369, Sala 4, 03:30:01.224369
Persona 68, 03:30:01.224369, Sala 3, 03:30:01.224369
Persona 69, 03:30:01.224369, Sala 4, 03:30:01.224369
Persona 70, 03:30:01.224369, Sala 1, 03:30:01.224369
Persona 71, 03:30:01.224369, Sala 1, 03:30:01.224369
Persona 72, 03:30:01.224369, Sala 3, 03:30:01.224369
Persona 73, 03:30:01.224369, Sala 4, 03:30:01.224369
Persona 74, 03:30:01.224369, Sala 3, 03:30:01.225370
Persona 75, 03:30:01.225370, Sala 2, 03:30:01.225370
Persona 76, 03:30:01.225370, Sala 4, 03:30:01.225370
Persona 77, 03:30:01.225370, Sala 1, 03:30:01.225370
Persona 78, 03:30:01.225370, Sala 2, 03:30:01.225370
Persona 79, 03:30:01.225370, Sala 1, 03:30:01.225370
Persona 80, 03:30:01.225370, Sala 2, 03:30:01.225370
Persona 81, 03:30:01.225370, Sala 1, 03:30:01.225370
Persona 82, 03:30:01.225370, Sala 3, 03:30:01.226371
Persona 84, 03:30:01.226371, Sala 4, 03:30:01.226371
Persona 85, 03:30:01.226371, Sala 3, 03:30:01.226371
Persona 86, 03:30:01.226371, Sala 1, 03:30:01.226371
Persona 87, 03:30:01.226371, Sala 3, 03:30:01.226371
Persona 88, 03:30:01.226371, Sala 3, 03:30:01.226371
Persona 91, 03:30:01.227372, Sala 3, 03:30:01.227372
Persona 92, 03:30:01.227372, Sala 3, 03:30:01.227372
Persona 93, 03:30:01.227372, Sala 4, 03:30:01.227372
Persona 95, 03:30:01.227372, Sala 3, 03:30:01.227372
Persona 97, 03:30:01.228374, Sala 3, 03:30:01.228374
Persona 98, 03:30:01.228374, Sala 4, 03:30:01.228374
Persona 99, 03:30:01.228374, Sala 4, 03:30:01.228374
Persona 100, 03:30:01.228374, Sala 4, 03:30:01.228374
Persona 89, 03:30:01.227372, Sala 1, 03:30:07.244174
Persona 90, 03:30:01.227372, Sala 1, 03:30:07.245176
Persona 96, 03:30:01.228374, Sala 1, 03:30:07.245176
Persona 83, 03:30:01.226371, Sala 2, 03:30:09.259391
Persona 94, 03:30:01.227372, Sala 2, 03:30:09.259391
