Persona 3, 03:30:01.214359, 03:30:01.214359
Persona 4, 03:30:01.214359, 03:30:01.214359
Persona 8, 03:30:01.215361, 03:30:01.215361
Persona 11, 03:30:01.216362, 03:30:01.216362
Persona 17, 03:30:01.217363, 03:30:01.217363
Persona 32, 03:30:01.219364, 03:30:01.219364
Persona 41, 03:30:01.220365, 03:30:01.220365
Persona 42, 03:30:01.220365, 03:30:01.220365
Persona 43, 03:30:01.220365, 03:30:01.220365
Persona 47, 03:30:01.221367, 03:30:01.221367
Persona 49, 03:30:01.221367, 03:30:01.221367
Persona 55, 03:30:01.222367, 03:30:01.222367
Persona 56, 03:30:01.222367, 03:30:01.222367
Persona 61, 03:30:01.223368, 03:30:01.223368
Persona 63, 03:30:01.223368, 03:30:01.223368
Persona 68, 03:30:01.224369, 03:30:01.224369
Persona 72, 03:30:01.224369, 03:30:01.224369
Persona 74, 03:30:01.225370, 03:30:01.225370
Persona 82, 03:30:01.226371, 03:30:01.226371
Persona 85, 03:30:01.226371, 03:30:01.226371
Persona 87, 03:30:01.226371, 03:30:01.226371
Persona 88, 03:30:01.226371, 03:30:01.227372
Persona 91, 03:30:01.227372, 03:30:01.227372
Persona 92, 03:30:01.227372, 03:30:01.227372
Persona 95, 03:30:01.227372, 03:30:01.227372
Persona 97, 03:30:01.228374, 03:30:08.259291
